feature,TFT,LightGBM_gain,TFT_norm,LightGBM_gain_norm
hour_sin,0.09539999812841415,69100.09187936783,0.09540953888838136,0.05722037321459809
hour_cos,0.17489999532699585,139771.47780752182,0.17491748672014484,0.11574190290317572
dow_sin,0.06109999865293503,256261.1200389862,0.0611061091396497,0.21220459380315168
dow_cos,0.06350000202655792,166544.32660865784,0.06350635253273337,0.13791195157826908
month_sin,0.03400000184774399,57712.49413251877,0.03400340211884333,0.04779053635953339
month_cos,0.12549999356269836,60211.1747841835,0.12551254456204802,0.049859642717336096
is_weekend,0.13600000739097595,27354.41555595398,0.13601360847537333,0.022651632213621507
is_holiday,0.08780000358819962,31953.32579278946,0.08780878428815546,0.026459895748083384
airTemperature,0.0632999986410141,134649.5055861473,0.06330632914525734,0.1115005024342226
dewTemperature,0.03959999978542328,110829.8911895752,0.03960396010093759,0.09177596678557133
windSpeed,0.025499999523162842,24889.664313793182,0.02550254972630107,0.02061062210608364
cloudCoverage,0.0406000018119812,52097.864683151245,0.040604062135666266,0.04314117651330706
seaLvlPressure,0.05270000174641609,76238.09013700485,0.052705272166508305,0.06313120362304642
